x,pdf,cdf
0.0,0.0,0.0
0.15,0.0032114053421684534,0.000163688624380278
0.3,0.011884002126326159,0.001236222907776771
0.44999999999999996,0.024691208199712964,0.0039353657887213
0.6,0.04045860828067403,0.008791348195215517
0.75,0.05815972962330855,0.016169397062727606
0.8999999999999999,0.07691030191487594,0.02629151421599664
1.05,0.09596116508655586,0.03925729055775178
1.2,0.11469002162510127,0.05506356713827542
1.3499999999999999,0.1325922538585358,0.07362278607751076
1.5,0.14927104090685828,0.09477990857117818
1.65,0.16442701449820524,0.11832781287351746
1.7999999999999998,0.17784768817404803,0.14402112078815804
1.95,0.18939688154298545,0.17158843550681468
2.1,0.19900434155328323,0.20074300548353285
2.25,0.20665573783325802,0.2311918575135182
2.4,0.21238318068938125,0.2626434666420478
2.55,0.21625638002549177,0.29481405055641724
2.6999999999999997,0.21837453279825889,0.3274325915496092
2.85,0.2188589969963529,0.3602447000446838
3.0,0.2178467826124293,0.39301544027073554
3.15,0.21548486547966172,0.42553124136663656
3.3,0.21192530870255843,0.4576010164382072
3.4499999999999997,0.20732115900134016,0.489056608450798
3.5999999999999996,0.20182307166062885,0.5197526758682192
3.75,0.19557660779205516,0.5495661232097692
3.9,0.18872014101122514,0.5783951727179533
4.05,0.1813833070195657,0.6061581635888494
4.2,0.17368592854071382,0.6327921551333324
4.35,0.16573734913602828,0.6582514001618147
4.5,0.1576361121658545,0.6825057451013911
4.6499999999999995,0.14946992514935592,0.7055390040801707
4.8,0.1413158546231343,0.7273473456065184
4.95,0.13324070197350754,0.7479377226343135
5.1,0.12530151633800873,0.7673263697966345
5.25,0.1175462063102932,0.7855373854284524
5.3999999999999995,0.11001421766148015,0.8026014106729309
5.55,0.1027372494782666,0.8185544134411885
5.7,0.09573998592256154,0.8334365812210021
5.85,0.08904082518179623,0.8472913236437096
6.0,0.08265259107454426,0.8601643832520318
6.1499999999999995,0.07658321619606077,0.8721030509936681
6.3,0.07083638844331648,0.8831554815254987
6.45,0.06541215527199658,0.8933701023829984
6.6,0.06030748214016446,0.9027951103848986
6.75,0.05551676332150973,0.9114780482454026
6.8999999999999995,0.05103228466458525,0.919465454202135
7.05,0.046844638973078744,0.9268025774903054
7.199999999999999,0.04294309552496867,0.9335331526609961
7.35,0.039315925872422074,0.9396992260184727
7.5,0.0359506885038884,0.9453410278077675
7.6499999999999995,0.03283447523631173,0.9504968841942228
7.8,0.029954122366727415,0.9552031635203684
7.949999999999999,0.027296389673401044,0.9594942517855819
8.1,0.02484811033855933,0.9634025527570116
8.25,0.02259631478604647,0.9669585085757971
8.4,0.020528331303488523,0.9701906371628207
8.549999999999999,0.018631866162773014,0.9731255831473038
8.7,0.01689506577557398,0.9757881794355583
8.85,0.015306563230983663,0.9782015169036028
9.0,0.01385551136700796,0.9803870200347922
9.15,0.01253160433220168,0.9823645266316887
9.299999999999999,0.011325089402238189,0.9841523700104103
9.45,0.010226770631838347,0.985767462336477
9.6,0.00922800574744747,0.9872253779849907
9.75,0.008320697521842639,0.9885404360063235
9.9,0.007497280719387206,0.9897257809530944
10.049999999999999,0.006750705560366944,0.9907934614768368
10.2,0.006074418524822536,0.9917545062352752
10.35,0.005462341200336006,0.992618996765346
10.5,0.004908847773925421,0.9933961370748009
10.65,0.0044087416749978205,0.9940943197881241
10.799999999999999,0.0039572317935460365,0.9947211887522153
10.95,0.0035499086247312074,0.9952836980653093
11.1,0.003182720626917742,0.9957881675403718
11.25,0.0028519510243599235,0.9962403346529763
11.4,0.002554195237329672,0.9966454030546394
11.549999999999999,0.0022863390807952785,0.9970080877567785
11.7,0.0020455378371173477,0.9973326571089072
11.85,0.0018291962779662674,0.9976229717081632
12.0,0.0016349496851742623,0.9978825203865582
12.15,0.0014606458989502057,0.9981144534281756
12.299999999999999,0.001304328404288527,0.9983216131714161
12.45,0.0011642204520231304,0.9985065621519374
12.6,0.0010387101993864166,0.9986716089404603
12.75,0.0009263368457481199,0.998818831826652
12.9,0.0008257777320856395,0.9989501004960802
13.049999999999999,0.0007358363673711048,0.9990670958420925
13.2,0.0006554313411804125,0.9991713280486503
13.35,0.000583586079197782,0.9992641530738244
13.5,0.0005194193966973051,0.9993467876570323
13.65,0.0004621368043487863,0.9994203229662934
13.799999999999999,0.0004110225206608657,0.9994857369949235
13.95,0.0003654321459039049,0.9995439058102644
14.1,0.00032478595333136254,0.9995956137503458
14.25,0.000288562754841511,0.9996415626578373
14.399999999999999,0.00025629429980664225,0.9996823802343452
14.549999999999999,0.00022756016757283226,0.9997186275920388
14.7,0.00020198311604010266,0.9997508060738165
14.85,0.00017922485072067917,0.9997793634077264
15.0,0.00015898218070115475,0.9998046992561711
