x,0r,1r,2r,3r,4r,5r,6r,7r,8r,9r,10r
-2.5758293035489004,0.045461086974460295,0.03637663406923082,0.03184532155790887,0.03218380965143262,0.03059208927060181,0.03106575432270914,0.030464295456839253,0.027942770257503798,0.029763877039925606,0.030708556615540644,0.030469739736524643
-2.0606634428391204,0.11320625928055181,0.09204802494999598,0.09167710685948795,0.08641876994461875,0.08416706794246784,0.08688276836300965,0.08502662975581927,0.08335868438162891,0.08140949767442107,0.0794307292482884,0.08486038196890516
-1.5454975821293402,0.20933064130340703,0.19065704366487984,0.1877977469596144,0.18211610503603176,0.1840572274516791,0.17524671447289883,0.17661480007157318,0.1770100138300974,0.17568138226464658,0.17582686840933437,0.17540688010485808
-1.03033172141956,0.282666246166563,0.29287655007286806,0.29557291722597684,0.2952058969716448,0.2933424194526233,0.2990809697843756,0.3014402978665198,0.29527759326731945,0.2967368347313796,0.29470120514357634,0.2935996671909394
-0.51516586070978,0.3190428802357939,0.356584187754413,0.3676049297584316,0.3728119711492247,0.37230727932115654,0.3731788354901098,0.3795148191719321,0.3826281019714489,0.3794011994219762,0.38678805254188525,0.38308737128199355
0.0,0.3186934782009771,0.35778768365211405,0.3696707829317105,0.37545189763450443,0.38197406895107955,0.38456051712402534,0.38353766844379644,0.3821193400479927,0.3866951139534993,0.3831775648487808,0.38834212691223047
0.5151658607097804,0.28254977882162424,0.29307066231443274,0.2913242757941383,0.2941965133155081,0.2967976173524756,0.29619657101413654,0.2932774289556488,0.30020867037158483,0.29657997635435757,0.29656468266259783,0.29705055148542353
1.0303317214195604,0.20902006171690368,0.19050175387162815,0.18690124463913477,0.184794853969625,0.1794373561024385,0.18058675003401706,0.17895820741440713,0.18182368433664223,0.17960284169019672,0.17897148672268312,0.1770538930635891
1.5454975821293404,0.11472033476475665,0.09690083098911416,0.0870776601718095,0.08606936790980219,0.0880881352220754,0.08508976372205013,0.08229265452251314,0.081245365622658,0.08576231763678167,0.08408942304584191,0.08168399983420951
2.060663442839121,0.046431648182283985,0.03431904430864468,0.031650429749109,0.03187323006492905,0.03035915458072415,0.029233771319989818,0.029995613988272506,0.02950819156044521,0.02948937488013714,0.03086384640879244,0.02956780406864814
2.5758293035489004,0.046431648182283985,0.03431904430864468,0.031650429749109,0.03187323006492905,0.03035915458072415,0.029233771319989818,0.029995613988272506,0.02950819156044521,0.02948937488013714,0.03086384640879244,0.02956780406864814
